date;dorsal;total_distance;minute_distance;num_dec_expl;num_acc_expl;distance_vrange2;distance_vrange3;distance_vrange1;player_load;hr_max;hid_intervals;max_acc;hsr;max_dec;max_speed;distance_vrange6;average_speed;num_acc;hmld_time;hmld;hmld_count;num_hids;num_dec;distance_vrange4;distance_vrange5;sprints;zone1_hsr_distance;num_hsr;zone2_hsr_distance;zone4_hsr_distance
07/08/2024;9.0;3.889;119.659;34.0;43.0;0.734;1.521;0.477;0.0;0.0;2.273;4.988;0.187;-6.518;29.914;0.077;0.0;35.0;3.457;0.747;157.0;12.0;33.0;0.58;0.11;4.0;0.021;12.0;0.111;0.013
07/08/2024;10.0;4.778;101.216;55.0;53.0;1.456;1.49;0.685;0.0;179.0;1.543;4.665;0.335;-5.281;29.948;0.155;0.0;55.0;4.668;1.065;230.0;24.0;43.0;0.772;0.188;10.0;0.015;24.0;0.188;0.021
07/08/2024;15.0;3.908;94.429;35.0;45.0;0.88;1.645;0.678;0.0;128.0;6.518;4.647;0.068;-6.305;26.693;0.031;0.0;44.0;3.452;0.613;170.0;7.0;39.0;0.599;0.037;3.0;0.0;7.0;0.0;0.018
07/08/2024;17.0;1.537;99.143;21.0;28.0;0.485;0.47;0.237;0.0;198.0;1.949;4.425;0.064;-5.689;24.728;0.008;0.0;18.0;1.76;0.348;94.0;8.0;19.0;0.271;0.059;1.0;0.0;8.0;0.025;0.0
07/08/2024;18.0;5.029;106.534;73.0;74.0;1.217;2.008;0.662;0.0;117.0;4.504;4.970;0.084;-6.697;28.534;0.018;0.0;69.0;5.078;0.913;279.0;9.0;54.0;1.018;0.072;1.0;0.0;9.0;0.022;0.004
07/08/2024;20.0;3.862;119.941;36.0;37.0;0.706;1.332;0.575;0.0;0.0;2.42;5.052;0.222;-6.900;30.393;0.138;0.0;30.0;3.008;0.72;141.0;11.0;27.0;0.533;0.084;7.0;0.0;11.0;0.027;0.067
07/08/2024;21.0;1.553;80.628;8.0;16.0;0.567;0.468;0.28;0.0;139.0;6.055;3.986;0.026;-5.843;24.395;0.004;0.0;11.0;0.83;0.167;48.0;2.0;11.0;0.19;0.027;1.0;0.016;2.0;0.0;0.0
07/08/2024;22.0;3.031;95.13;33.0;30.0;0.61;1.077;0.596;0.0;186.0;2.706;4.435;0.105;-4.573;27.662;0.047;0.0;38.0;3.075;0.585;153.0;8.0;44.0;0.637;0.064;3.0;0.004;8.0;0.042;0.0
07/08/2024;23.0;1.751;110.187;19.0;20.0;0.424;0.63;0.217;0.0;50.0;2.292;4.395;0.081;-4.486;24.646;0.013;0.0;20.0;1.692;0.361;90.0;7.0;24.0;0.395;0.068;2.0;0.018;7.0;0.063;0.0
10/08/2024;2.0;5.203;111.529;74.0;57.0;1.279;1.727;0.593;0.0;184.0;1.805;4.402;0.42;-6.281;30.418;0.196;0.0;64.0;6.193;1.402;260.0;25.0;40.0;1.151;0.225;13.0;0.007;25.0;0.242;0.004
10/08/2024;2.0;4.906;103.752;61.0;41.0;1.15;1.88;0.666;0.0;191.0;4.24;4.887;0.184;-7.518;30.414;0.1;0.0;46.0;4.44;0.896;197.0;10.0;39.0;0.974;0.088;6.0;0.003;10.0;0.044;0.02
10/08/2024;4.0;4.923;105.513;55.0;58.0;1.113;2.018;0.62;0.0;0.0;3.157;5.068;0.251;-5.685;27.36;0.102;0.0;69.0;5.203;1.049;245.0;15.0;48.0;0.892;0.15;7.0;0.0;15.0;0.082;0.0
10/08/2024;4.0;4.895;103.525;54.0;65.0;1.226;1.856;0.65;0.0;0.0;3.087;4.854;0.207;-6.629;28.711;0.097;0.0;51.0;5.183;1.047;245.0;15.0;60.0;0.906;0.115;6.0;0.018;15.0;0.114;0.046
10/08/2024;5.0;5.438;116.567;68.0;52.0;1.138;2.382;0.585;0.0;177.0;2.858;4.248;0.131;-6.443;24.317;0.02;0.0;79.0;5.342;1.009;273.0;15.0;59.0;1.183;0.115;3.0;0.005;15.0;0.027;0.006
10/08/2024;5.0;5.451;115.284;55.0;42.0;1.04;2.468;0.599;0.0;179.0;6.336;3.902;0.111;-5.660;24.08;0.004;0.0;59.0;5.088;0.906;232.0;7.0;69.0;1.183;0.116;0.0;0.0;7.0;0.061;0.027
10/08/2024;7.0;5.079;108.86;63.0;62.0;1.173;1.954;0.578;0.0;194.0;1.968;4.775;0.39;-8.146;28.687;0.196;0.0;49.0;5.637;1.308;246.0;23.0;49.0;0.945;0.197;13.0;0.074;23.0;0.223;0.0
10/08/2024;7.0;5.099;107.832;61.0;38.0;1.065;2.206;0.547;0.0;198.0;2.726;4.763;0.248;-5.940;30.07;0.125;0.0;78.0;5.02;1.055;243.0;15.0;51.0;0.953;0.126;9.0;0.0;15.0;0.081;0.043
10/08/2024;9.0;4.466;95.739;48.0;43.0;1.234;1.696;0.586;0.0;0.0;2.73;4.480;0.242;-7.928;31.601;0.1;0.0;48.0;4.293;0.915;201.0;17.0;45.0;0.666;0.147;7.0;0.092;17.0;0.13;0.0
10/08/2024;9.0;4.306;91.058;42.0;37.0;1.313;1.534;0.575;0.0;0.0;3.193;4.727;0.184;-8.152;28.967;0.064;0.0;30.0;3.128;0.685;150.0;15.0;26.0;0.659;0.123;4.0;0.0;15.0;0.0;0.029
10/08/2024;10.0;5.198;111.414;80.0;60.0;1.683;1.854;0.482;0.0;132.0;2.652;4.517;0.267;-6.754;29.746;0.121;0.0;60.0;5.4;1.158;261.0;18.0;43.0;0.875;0.156;9.0;0.027;18.0;0.182;0.0
10/08/2024;10.0;5.025;106.272;63.0;63.0;1.413;1.8;0.561;0.0;115.0;1.636;4.703;0.383;-6.420;28.126;0.152;0.0;45.0;5.088;1.228;238.0;29.0;38.0;0.824;0.243;12.0;0.0;29.0;0.0;0.036
10/08/2024;17.0;5.18;111.022;70.0;61.0;1.252;2.062;0.61;0.0;169.0;2.174;4.947;0.207;-7.034;29.604;0.088;0.0;64.0;5.278;1.095;267.0;18.0;54.0;1.005;0.123;7.0;0.004;18.0;0.089;0.015
10/08/2024;17.0;4.984;105.407;58.0;66.0;1.367;1.732;0.638;0.0;187.0;2.36;4.993;0.204;-6.509;28.084;0.068;0.0;48.0;4.748;1.004;245.0;18.0;55.0;1.006;0.143;8.0;0.006;18.0;0.038;0.05
10/08/2024;18.0;5.23;112.094;75.0;71.0;1.287;2.308;0.514;0.0;0.0;3.22;5.376;0.185;-7.249;32.476;0.074;0.0;68.0;5.385;1.081;286.0;15.0;57.0;0.912;0.111;4.0;0.01;15.0;0.044;0.005
10/08/2024;18.0;5.176;109.457;66.0;57.0;1.265;1.974;0.639;0.0;80.0;2.562;4.868;0.202;-6.145;31.797;0.085;0.0;67.0;5.127;1.108;260.0;17.0;53.0;1.019;0.124;5.0;0.0;17.0;0.038;0.004
10/08/2024;20.0;4.775;102.362;54.0;50.0;1.036;1.924;0.729;0.0;164.0;2.49;4.683;0.275;-6.190;32.147;0.138;0.0;59.0;4.768;1.036;228.0;17.0;48.0;0.765;0.144;6.0;0.0;17.0;0.068;0.044
10/08/2024;20.0;4.777;101.019;60.0;54.0;0.97;1.967;0.759;0.0;190.0;2.761;4.401;0.268;-7.139;29.869;0.118;0.0;57.0;5.065;1.049;225.0;14.0;40.0;0.774;0.153;6.0;0.004;14.0;0.083;0.066
10/08/2024;23.0;5.251;112.546;41.0;52.0;1.157;1.867;0.571;0.0;103.0;1.624;4.311;0.386;-6.573;29.191;0.127;0.0;57.0;5.44;1.242;235.0;27.0;58.0;1.259;0.265;11.0;0.037;27.0;0.28;0.0
10/08/2024;23.0;5.176;109.458;51.0;47.0;1.143;2.12;0.641;0.0;126.0;2.323;4.467;0.298;-6.415;28.231;0.127;0.0;55.0;4.995;1.067;225.0;20.0;52.0;0.938;0.176;7.0;0.0;20.0;0.124;0.054
16/08/2024;4.0;5.411;106.686;55.0;61.0;1.295;2.069;0.687;0.0;152.0;2.852;4.344;0.209;-7.525;28.619;0.078;0.0;74.0;5.635;1.102;262.0;16.0;56.0;1.053;0.136;6.0;0.015;16.0;0.006;0.0
16/08/2024;6.0;5.836;115.072;37.0;42.0;1.397;2.566;0.551;0.0;63.0;4.532;4.306;0.207;-4.429;27.847;0.106;0.0;64.0;4.167;0.887;193.0;11.0;39.0;1.063;0.104;6.0;0.009;11.0;0.039;0.005
16/08/2024;7.0;5.622;110.847;71.0;64.0;1.372;2.149;0.6;0.0;102.0;1.994;5.126;0.339;-7.205;27.999;0.135;0.0;54.0;5.297;1.196;261.0;23.0;49.0;1.048;0.204;9.0;0.035;23.0;0.197;0.0
16/08/2024;8.0;5.794;114.252;36.0;42.0;1.538;2.426;0.574;0.0;0.0;7.598;4.047;0.082;-4.442;28.252;0.031;0.0;51.0;3.933;0.746;176.0;7.0;40.0;0.997;0.056;3.0;0.037;7.0;0.035;0.0
16/08/2024;15.0;4.911;96.824;35.0;47.0;1.292;1.871;0.845;0.0;71.0;3.502;5.626;0.145;-5.013;31.368;0.055;0.0;50.0;3.97;0.791;179.0;11.0;36.0;0.677;0.096;5.0;0.0;11.0;0.009;0.003
16/08/2024;18.0;5.657;111.54;71.0;70.0;1.431;2.287;0.683;0.0;106.0;5.586;5.405;0.149;-6.296;29.969;0.083;0.0;68.0;5.362;1.037;278.0;9.0;60.0;0.931;0.071;5.0;0.011;9.0;0.029;0.0
16/08/2024;19.0;5.143;101.401;47.0;56.0;1.8;1.452;0.647;0.0;0.0;2.263;5.330;0.419;-7.206;30.289;0.208;0.0;38.0;4.468;1.135;198.0;21.0;36.0;0.748;0.224;13.0;0.062;21.0;0.231;0.0
16/08/2024;20.0;5.68;111.988;62.0;55.0;1.299;2.015;0.747;0.0;0.0;1.493;5.035;0.498;-7.173;30.124;0.239;0.0;51.0;5.517;1.379;235.0;33.0;34.0;0.993;0.26;18.0;0.084;33.0;0.154;0.034
16/08/2024;21.0;4.958;97.751;50.0;73.0;1.491;1.729;0.742;0.0;108.0;4.718;5.002;0.134;-6.937;28.026;0.063;0.0;51.0;4.563;0.885;230.0;9.0;47.0;0.816;0.077;6.0;0.03;9.0;0.084;0.02
16/08/2024;27.0;5.267;103.853;57.0;33.0;1.49;1.965;0.64;0.0;151.0;2.997;5.133;0.274;-5.778;29.21;0.112;0.0;49.0;4.442;0.964;192.0;16.0;37.0;0.802;0.161;8.0;0.0;16.0;0.089;0.0
16/08/2024;4.0;4.568;93.759;55.0;59.0;1.218;1.624;0.777;0.0;162.0;5.825;5.093;0.122;-7.011;26.86;0.028;0.0;56.0;4.83;0.883;230.0;9.0;51.0;0.788;0.094;2.0;0.045;9.0;0.074;0.0
16/08/2024;6.0;5.375;110.316;38.0;38.0;1.423;2.238;0.567;0.0;153.0;3.958;3.867;0.179;-6.108;27.701;0.081;0.0;56.0;3.72;0.794;176.0;11.0;33.0;0.936;0.103;5.0;0.0;11.0;0.041;0.017
16/08/2024;7.0;4.954;101.669;66.0;64.0;1.391;1.737;0.627;0.0;190.0;2.26;4.318;0.32;-5.859;28.894;0.171;0.0;53.0;5.12;1.146;235.0;21.0;31.0;0.805;0.154;11.0;0.0;21.0;0.041;0.028
16/08/2024;8.0;4.896;100.494;19.0;31.0;1.527;1.934;0.673;0.0;133.0;14.017;5.439;0.066;-5.912;25.755;0.017;0.0;47.0;3.207;0.57;151.0;4.0;50.0;0.661;0.051;1.0;0.0;4.0;0.035;0.0
16/08/2024;15.0;4.554;93.46;30.0;32.0;1.087;1.941;0.875;0.0;125.0;7.83;5.149;0.064;-5.135;24.583;0.009;0.0;60.0;3.823;0.624;189.0;7.0;60.0;0.561;0.055;1.0;0.027;7.0;0.027;0.0
16/08/2024;18.0;5.178;106.266;76.0;73.0;1.307;2.218;0.659;0.0;134.0;3.426;5.128;0.18;-6.970;31.61;0.078;0.0;67.0;5.547;1.051;291.0;12.0;63.0;0.781;0.107;5.0;0.005;12.0;0.088;0.0
16/08/2024;19.0;4.779;98.081;46.0;59.0;1.747;1.158;0.676;0.0;95.0;2.285;5.188;0.329;-6.028;32.248;0.17;0.0;35.0;4.202;1.004;195.0;21.0;34.0;0.815;0.162;10.0;0.0;21.0;0.111;0.023
16/08/2024;20.0;4.651;95.454;43.0;41.0;1.231;1.788;0.766;0.0;0.0;3.334;4.259;0.167;-6.458;27.637;0.051;0.0;49.0;4.103;0.826;192.0;14.0;45.0;0.655;0.126;5.0;0.044;14.0;0.065;0.0
16/08/2024;21.0;4.494;92.24;33.0;40.0;1.587;1.536;0.716;0.0;187.0;7.756;5.026;0.102;-4.631;27.62;0.033;0.0;45.0;3.598;0.673;162.0;6.0;38.0;0.516;0.073;3.0;0.0;6.0;0.054;0.0
17/08/2024;2.0;4.932;101.031;71.0;58.0;1.142;1.723;0.733;0.0;165.0;2.388;5.051;0.304;-5.818;27.924;0.125;0.0;60.0;5.26;1.133;257.0;19.0;49.0;0.981;0.182;10.0;0.046;19.0;0.163;0.036
17/08/2024;3.0;4.799;98.293;50.0;48.0;1.189;1.697;0.773;0.0;0.0;3.936;4.242;0.16;-7.418;26.717;0.038;0.0;65.0;4.602;0.897;224.0;12.0;49.0;0.843;0.121;3.0;0.049;12.0;0.009;0.014
17/08/2024;5.0;5.241;107.348;68.0;51.0;1.041;2.27;0.745;0.0;51.0;3.099;4.028;0.104;-6.192;24.985;0.011;0.0;67.0;4.278;0.825;247.0;12.0;49.0;1.019;0.093;1.0;0.0;12.0;0.037;0.008
17/08/2024;9.0;4.171;85.426;49.0;42.0;1.204;1.387;0.718;0.0;0.0;3.828;4.272;0.181;-5.793;29.684;0.084;0.0;45.0;3.238;0.693;175.0;12.0;27.0;0.601;0.099;5.0;0.086;12.0;0.079;0.0
17/08/2024;10.0;4.608;94.382;56.0;52.0;1.287;1.605;0.709;0.0;60.0;2.668;5.123;0.324;-6.393;29.716;0.145;0.0;47.0;4.802;1.069;218.0;17.0;46.0;0.624;0.185;8.0;0.042;17.0;0.117;0.0
17/08/2024;11.0;5.087;104.193;56.0;50.0;1.249;1.947;0.735;0.0;187.0;3.439;4.645;0.238;-6.291;29.28;0.126;0.0;42.0;4.077;0.884;208.0;14.0;46.0;0.742;0.116;8.0;0.034;14.0;0.124;0.0
17/08/2024;16.0;4.623;94.694;44.0;34.0;1.384;1.631;0.691;0.0;60.0;5.441;4.633;0.099;-5.029;27.971;0.055;0.0;57.0;3.693;0.698;180.0;7.0;38.0;0.703;0.048;4.0;0.013;7.0;0.006;0.0
17/08/2024;17.0;4.43;90.747;64.0;53.0;1.144;1.564;0.823;0.0;126.0;3.322;5.737;0.132;-6.549;26.139;0.034;0.0;60.0;4.533;0.835;246.0;14.0;55.0;0.68;0.102;3.0;0.011;14.0;0.064;0.025
17/08/2024;22.0;5.125;104.973;53.0;49.0;0.925;2.233;0.792;0.0;206.0;6.589;4.668;0.108;-7.315;26.603;0.024;0.0;62.0;4.765;0.896;230.0;7.0;59.0;1.049;0.092;2.0;0.002;7.0;0.082;0.0
17/08/2024;23.0;5.158;105.658;54.0;58.0;1.161;2.018;0.638;0.0;156.0;3.303;4.667;0.277;-6.164;28.372;0.161;0.0;54.0;5.0;1.089;243.0;14.0;63.0;1.0;0.12;9.0;0.027;14.0;0.197;0.004
17/08/2024;2.0;5.103;106.441;71.0;63.0;1.026;1.806;0.706;0.0;74.0;2.302;5.051;0.25;-5.443;27.181;0.11;0.0;76.0;6.055;1.253;285.0;20.0;55.0;1.166;0.147;9.0;0.042;20.0;0.089;0.0
17/08/2024;3.0;4.636;96.707;44.0;59.0;1.094;1.76;0.723;0.0;0.0;2.437;5.090;0.259;-6.391;28.434;0.137;0.0;50.0;4.725;0.963;212.0;16.0;43.0;0.716;0.124;9.0;0.081;16.0;0.113;0.037
17/08/2024;5.0;2.736;118.165;36.0;25.0;0.524;1.096;0.37;0.0;116.0;2.735;3.918;0.097;-4.704;26.178;0.031;0.0;25.0;2.443;0.505;113.0;6.0;21.0;0.515;0.067;2.0;0.0;6.0;0.047;0.0
17/08/2024;9.0;4.259;88.842;45.0;48.0;1.397;1.385;0.627;0.0;126.0;3.639;4.938;0.184;-5.753;29.178;0.079;0.0;37.0;3.643;0.748;173.0;12.0;31.0;0.617;0.104;5.0;0.0;12.0;0.017;0.069
17/08/2024;10.0;4.83;100.76;47.0;49.0;1.565;1.497;0.701;0.0;62.0;2.182;4.522;0.293;-6.155;28.278;0.106;0.0;41.0;4.813;0.999;209.0;20.0;52.0;0.741;0.188;10.0;0.0;20.0;0.039;0.046
17/08/2024;11.0;4.641;96.811;45.0;45.0;1.242;1.86;0.694;0.0;129.0;3.806;3.949;0.155;-5.602;30.347;0.066;0.0;54.0;4.063;0.807;202.0;11.0;47.0;0.648;0.089;6.0;0.0;11.0;0.022;0.046
17/08/2024;16.0;4.459;93.026;43.0;46.0;1.256;1.667;0.665;0.0;84.0;4.196;5.400;0.109;-5.460;25.193;0.029;0.0;43.0;4.125;0.764;185.0;9.0;44.0;0.685;0.081;4.0;0.023;9.0;0.051;0.022
17/08/2024;17.0;4.815;100.445;47.0;63.0;1.137;1.879;0.698;0.0;156.0;4.855;4.747;0.126;-5.764;25.509;0.033;0.0;63.0;4.873;0.946;235.0;9.0;53.0;0.899;0.099;3.0;0.01;9.0;0.026;0.004
17/08/2024;22.0;5.097;106.325;65.0;44.0;0.99;2.358;0.717;0.0;203.0;4.192;4.337;0.139;-5.729;26.469;0.023;0.0;74.0;4.708;0.892;242.0;11.0;48.0;0.869;0.119;3.0;0.0;11.0;0.0;0.033
17/08/2024;23.0;5.301;110.577;55.0;63.0;1.025;2.349;0.651;0.0;137.0;5.004;5.276;0.111;-6.305;27.608;0.028;0.0;71.0;5.045;0.954;251.0;10.0;52.0;1.113;0.088;1.0;0.0;10.0;0.0;0.013
24/08/2024;2.0;5.109;102.577;73.0;53.0;1.432;1.598;0.711;0.0;180.0;2.356;4.979;0.361;-5.726;28.876;0.129;0.0;59.0;5.552;1.204;263.0;21.0;57.0;0.944;0.233;7.0;0.025;21.0;0.222;0.051
